PartitionKey,RowKey,Timestamp,url,url@type,phrase,phrase@type,urlstill,urlstill@type
tasksSign,1076,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/l4JyS41E9OFXw7ixi/200.gif,Edm.String,Please repeat.,Edm.String,https://media1.giphy.com/media/l4JyS41E9OFXw7ixi/200_s.gif,Edm.String
tasksSign,1077,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/26FKWKl7L4yGQzpde/200.gif,Edm.String,DEFLATED,Edm.String,https://media1.giphy.com/media/26FKWKl7L4yGQzpde/200_s.gif,Edm.String
tasksSign,1078,2017-09-28T18:30:04.240Z,https://media0.giphy.com/media/3o7TKEMOeb2W8VDI1W/200.gif,Edm.String,,Edm.String,https://media0.giphy.com/media/3o7TKEMOeb2W8VDI1W/200_s.gif,Edm.String
tasksSign,1079,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/3o7TKR3MyiMlQg4vRe/200.gif,Edm.String,Raincoat,Edm.String,https://media3.giphy.com/media/3o7TKR3MyiMlQg4vRe/200_s.gif,Edm.String
tasksSign,108,2017-09-28T18:30:01.946Z,https://media3.giphy.com/media/3o7TKUu5QdKUb7lSfu/200.gif,Edm.String,Whistle 1,Edm.String,https://media3.giphy.com/media/3o7TKUu5QdKUb7lSfu/200_s.gif,Edm.String
tasksSign,1080,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/l3vR9qDCwNyUtirXa/200.gif,Edm.String,ear,Edm.String,https://media3.giphy.com/media/l3vR9qDCwNyUtirXa/200_s.gif,Edm.String
tasksSign,1081,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/26FLjvKjtpcmGQEvu/200.gif,Edm.String,Ghost,Edm.String,https://media3.giphy.com/media/26FLjvKjtpcmGQEvu/200_s.gif,Edm.String
tasksSign,1082,2017-09-28T18:30:04.240Z,https://media0.giphy.com/media/3o6Zt5B07FlNB8LZg4/200.gif,Edm.String,Crab,Edm.String,https://media0.giphy.com/media/3o6Zt5B07FlNB8LZg4/200_s.gif,Edm.String
tasksSign,1083,2017-09-28T18:30:04.240Z,https://media3.giphy.com/media/3o6Zt4CA6DFM6OMWUE/200.gif,Edm.String,,Edm.String,https://media3.giphy.com/media/3o6Zt4CA6DFM6OMWUE/200_s.gif,Edm.String
tasksSign,1084,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/l4JyZlFH3BDSrKxA4/200.gif,Edm.String,,Edm.String,https://media1.giphy.com/media/l4JyZlFH3BDSrKxA4/200_s.gif,Edm.String
tasksSign,1085,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/3o7TKUL9t3p8Q2H1lu/200.gif,Edm.String,Exercise,Edm.String,https://media1.giphy.com/media/3o7TKUL9t3p8Q2H1lu/200_s.gif,Edm.String
tasksSign,1086,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/l0MYMfRvCM6tNliqA/200.gif,Edm.String,,Edm.String,https://media1.giphy.com/media/l0MYMfRvCM6tNliqA/200_s.gif,Edm.String
tasksSign,1087,2017-09-28T18:30:04.240Z,https://media2.giphy.com/media/l0MYLd7lDS0xLLrpK/200.gif,Edm.String,,Edm.String,https://media2.giphy.com/media/l0MYLd7lDS0xLLrpK/200_s.gif,Edm.String
tasksSign,1088,2017-09-28T18:30:04.240Z,https://media0.giphy.com/media/3o7TKGn7rtY4ymMDQI/200.gif,Edm.String,Bold,Edm.String,https://media0.giphy.com/media/3o7TKGn7rtY4ymMDQI/200_s.gif,Edm.String
tasksSign,1089,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/3o6ZsTRyjIOVCfXPLW/200.gif,Edm.String,Bluefish,Edm.String,https://media1.giphy.com/media/3o6ZsTRyjIOVCfXPLW/200_s.gif,Edm.String
tasksSign,109,2017-09-28T18:30:01.946Z,https://media0.giphy.com/media/3o6Zt7T5hpR9f3jrS8/200.gif,Edm.String,ox,Edm.String,https://media0.giphy.com/media/3o6Zt7T5hpR9f3jrS8/200_s.gif,Edm.String
tasksSign,1090,2017-09-28T18:30:04.240Z,https://media0.giphy.com/media/26hirLAszdMvMaH4c/200.gif,Edm.String,Rolls,Edm.String,https://media0.giphy.com/media/26hirLAszdMvMaH4c/200_s.gif,Edm.String
tasksSign,1091,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/26FL3BSi6RctToHQI/200.gif,Edm.String,next class?,Edm.String,https://media1.giphy.com/media/26FL3BSi6RctToHQI/200_s.gif,Edm.String
tasksSign,1092,2017-09-28T18:30:04.240Z,https://media1.giphy.com/media/l4Jz7GsngHrwQeoLK/200.gif,Edm.String,Tree n tree.,Edm.String,https://media1.giphy.com/media/l4Jz7GsngHrwQeoLK/200_s.gif,Edm.String
